Orden,Libro,Capítulo,Título del capítulo,Autor citado,Forma normalizada,Obra asociada,Pasaje / contexto,Función de la cita,Tipo de fuente,Observaciones
148,IV,VI,De los tres Emperadores Antoninos,Julio Capitolino,Julio Capitolino,,"Julio Capitolino, uno de los seis autores atribuidos a la colección de biografías imperiales. Junto con Dión, y una carta en griego que lo acredita. → Sobre un episodio de Marco Aurelio Antonino, relacionado con rayos, y una victoria ante los moravos.",Autoridad historiográfica de apoyo,Historia Augusta / autoría dudosa,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
149,IV,VI,De los tres Emperadores Antoninos,Julio Capitolino,Julio Capitolino,,Julio Capitolino → sobre la familia del emperador Cómodo.,Autoridad cronológica,Historia Augusta / autoría dudosa,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
150,IV,IX,"De los Emperadores Maximino, Gordiano y Philippo",Nicéforo,Nicéforo,,"Nicéforo, Constantinopla, s. XVIII-IX. Sobre la persecución de los cristianos por el emperador Decio, en el año 250.",Autoridad eclesiástica/cristiana,Bizantina cristiana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
151,IV,X,"De los Emperadores Valeriano, Gallieno, Claudio y Aureliano",Trebellio Polión,Trebellio Polión,,"Trebellio Polión (Trebellius Pollio) hace referencia a otro de los seis autores a los que tradicionalmente se les atribuye la autoría de la colección biográfica conocida como la Historia Augusta. Al igual que Julio Capitolino, su existencia como historiador independiente en la época que supuestamente vivió es altamente cuestionada por la crítica moderna.",Autoridad historiográfica de apoyo,Historia Augusta / autoría dudosa,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
152,IV,XII,De los Emperadores Diocleciano y Maximiano,San Agustín,Agustín de Hipona,,"San Agustín, sobre la guerra de Diocleciano en contra de los cristinaos. Año 10 de su gobierno.",Autoridad narrativa bélica,Patrística latina,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
153,IV,XII,De los Emperadores Diocleciano y Maximiano,Códices de Teodosio y Justiniano,Códices de Teodosio y Justiniano,,Códices de Teodosio y Justiniano. Sobre el martirio del centurión Marcello.,Autoridad historiográfica de apoyo,Jurídica tardoantigua,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
154,IV,XII,De los Emperadores Diocleciano y Maximiano,Prudencio,Prudencio,,"Prudencio, s. IV-V. Calagurris (¿actual Calahorra?). Sobre la muerte de Santa Engracia en Zaragoza.",Autoridad eclesiástica/cristiana,Cristiana hispanorromana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
155,IV,XIII,En qué parte de España está Elbora,Braulio,Braulio de Zaragoza,,"Braulio, obispo de Zaragoza, escribió sobre la vida de Santa Leocadia.",Autoridad eclesiástica/cristiana,Medieval / eclesiástica hispana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
156,IV,XIII,En qué parte de España está Elbora,Ptolomeo,Ptolomeo,,"Ptolomeo, sobre la ciudad de Ébora.",Autoridad geográfica/toponímica,Clásica grecorromana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
157,IV,XIII,En qué parte de España está Elbora,Tito Livio,Tito Livio,,"Tito Livio, sobre lo mismo.",Autoridad historiográfica de apoyo,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
158,IV,XIV,La descripción de Elbora,Ptolomeo,Ptolomeo,,"Ptolomeo, Tito Livio.",Autoridad historiográfica de apoyo,Clásica grecorromana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
159,IV,XIV,La descripción de Elbora,Tito Livio,Tito Livio,,"Ptolomeo, Tito Livio.",Autoridad historiográfica de apoyo,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
160,IV,XIV,La descripción de Elbora,moro Rasis,Ahmad al-Razi / el moro Rasis,,"El moro Rasis ( Áhmad ibn Muhámmad ibn Mūsà al-Rāzī). Murallas de Talavera atribuidas a los visigodos. Mariana emplea al moro Rasis como contrapunto, puesto que dice, las mismas fueron levantadas por los musulmanes para defenderse de las correrías de los cristianos, en el s. X. Cuidado, incluye una cita de este autor.",Autoridad geográfica/toponímica,Andalusí / medieval,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
161,IV,XIV,La descripción de Elbora,Escritura en el monasterio de San Clemente,Escritura del monasterio de San Clemente de Toledo,,Escritura en el monasterio de San Clemente de Toledo. ¿Es fuente primaria? No especifica cuál es.,Autoridad historiográfica de apoyo,Documental / archivo,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
162,IV,XV,De los Emperadores Constancio y Galerio,Pietro Ricci,Pietro Crinito,,"Pietro Ricci (Crinito), s. XV-XVI. Florencia. Sobre el poeta Rufo Festo Avieno.",Autoridad historiográfica de apoyo,Humanista italiana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
163,IV,XV,De los Emperadores Constancio y Galerio,Rufo Festo,Sexto Rufo / Rufo Festo,,"Pietro Ricci (Crinito), s. XV-XVI. Florencia. Sobre el poeta Rufo Festo Avieno.",Autoridad historiográfica de apoyo,Tardorromana / compendio,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
164,IV,XVI,Del Emperador Constantino Magno,Moro Rasis,Ahmad al-Razi / el moro Rasis,,"Moro Rasis, sobre la división en diócesis de Constantino.",Autoridad historiográfica de apoyo,Andalusí / medieval,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
165,IV,XVI,Del Emperador Constantino Magno,Eusebio Cesariense,Eusebio de Cesarea,,Eusebio Cesariense → escribe fábulas. ¿Autor desacreditado por Mariana?,Fuente problemática o usada críticamente,Cristiana tardoantigua,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR. Caso crítico/problemático.
166,IV,XVII,De los hijos del gran Constantino,San Jerónimo,Jerónimo,,"San Jerónimo, sobre el concilio de Armino (concilio Ariminense, actual Rímini), donde unos prelados arrianos engañan a otros tantos católicos para convertirlos a su secta (arrianismo considerado como secta o herejía).",Autoridad eclesiástica/cristiana,Patrística latina,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
167,IV,XVII,De los hijos del gran Constantino,arriano,Arriano,,"San Jerónimo, sobre el concilio de Armino (concilio Ariminense, actual Rímini), donde unos prelados arrianos engañan a otros tantos católicos para convertirlos a su secta (arrianismo considerado como secta o herejía).",Autoridad eclesiástica/cristiana,Clásica griega,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
168,IV,XVII,De los hijos del gran Constantino,San Idisoro,Isidoro de Sevilla,,"San Idisoro, toma el testimonio de Marcelino presbítero en sus biografías de hombres ilustres. Habla de San Hilario de Osio (En principio es San Hilario de Poitiers, defensor del catolicismo frente al arrianismo en el siglo IV.)",Autoridad historiográfica de apoyo,Medieval / patrística hispana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
169,IV,XIX,De los Emperadores Valentiniano y Valente,Amiano Marcellino,Amiano Marcelino,,"Amiano Marcellino, s. IV-V. Según Mariana era Español, pero fuentes actuales concuerdan que era de Antioquía, Siria. Sobre las revueltas ocurridas tras la muerte del Papa Liberio y la elección de un nuevo pontífice (año 366).",Autoridad cronológica,Tardorromana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
170,IV,XIX,De los Emperadores Valentiniano y Valente,Marcellino,Amiano Marcelino,,"De nuevo Marcellino, que lo emplea como fuente para tratar este periodo: Cuestiones eclesiásticas acontecidas durante el gobierno de Valente.",Autoridad historiográfica de apoyo,Tardorromana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
171,IV,XX,"De los Emperadores Graciano, Valentiniano y Teodosio",Severo Sulpicio,Sulpicio Severo,,"Severo Sulpicio, una sentencia referente a la excomunión de varios eclesiásticos, comunicada a Itacio obispo Sossubense. Habla de la controversia prisciliana de finales del siglo IV.",Autoridad eclesiástica/cristiana,Cristiana tardoantigua,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
172,IV,XX,"De los Emperadores Graciano, Valentiniano y Teodosio",San Isidoro,Isidoro de Sevilla,,"San Isidoro y Sigiberto (Sigeberto de Gembloux, s. XI-XII). Discuten la procedencia del obispo Itacio. San Isidoro dice que es Español, Sigiberto que era de Lamego. En cualquier caso, parece que era portugués (buscar una fuente que lo acredite, lo mismo para otros casos).",Autoridad eclesiástica/cristiana,Medieval / patrística hispana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
173,IV,XX,"De los Emperadores Graciano, Valentiniano y Teodosio",Sigiberto,Sigeberto de Gembloux,,"San Isidoro y Sigiberto (Sigeberto de Gembloux, s. XI-XII). Discuten la procedencia del obispo Itacio. San Isidoro dice que es Español, Sigiberto que era de Lamego. En cualquier caso, parece que era portugués (buscar una fuente que lo acredite, lo mismo para otros casos).",Autoridad eclesiástica/cristiana,Medieval cristiana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
174,IV,XX,"De los Emperadores Graciano, Valentiniano y Teodosio",San Isidoro,Isidoro de Sevilla,,"San Isidoro, sobre el destierro de Itacio e Idacio. Herejes.",Autoridad eclesiástica/cristiana,Medieval / patrística hispana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
175,IV,XX,"De los Emperadores Graciano, Valentiniano y Teodosio",San Isidoro,Isidoro de Sevilla,,"San Isidoro, sobre una epístola escrita por el papa Siricio a Himerio, obispo de Tarragona. Muy importante, empleada en el primer concilio de Toledo, y mencionada por el propio Isidoro en sus biografías de hombres ilustres.",Autoridad eclesiástica/cristiana,Medieval / patrística hispana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
176,IV,XX,"De los Emperadores Graciano, Valentiniano y Teodosio",Claudiano,Claudiano,,"Claudiano, poeta, s. IV-V, Alejandría. Narra la batalla del Frígido, entre el emperador Teodosio I y el usurpador Eugenio. En el 394.",Autoridad narrativa bélica,Tardorromana / poesía,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
177,IV,XXI,De los Emperadores Arcadio y Honorio,San Ildefonso,Ildefonso de Toledo,,"Habla de San Ildefonso, y una obra titulada claros varones. Posiblemente es una confusión, y se refiere a Hernando del Pulgar, s. XV, posiblemente toledano, que escribió → Claros varones de Castilla.",Autoridad bibliográfica o de transmisión textual,Medieval / eclesiástica hispana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR. Identificación insegura en las notas.
178,IV,XXI,De los Emperadores Arcadio y Honorio,Hernando del Pulgar,Hernando del Pulgar,,"Habla de San Ildefonso, y una obra titulada claros varones. Posiblemente es una confusión, y se refiere a Hernando del Pulgar, s. XV, posiblemente toledano, que escribió → Claros varones de Castilla.",Autoridad bibliográfica o de transmisión textual,Humanista castellana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR. Identificación insegura en las notas.
179,IV,XXI,De los Emperadores Arcadio y Honorio,Paulo Orosio,Paulo Orosio,,"Paulo Orosio y Próspero Aquitanio, s. IV-V, en Aquitania (Francia). Sobre el año exacto del saqueo de Roma, 410. Aunque estos autores añaden dos más, ergo, 412. Empleados por Mariana para contrastar las fechas, o, como mínimo, para indicar que no todos los autores concuerdan.",Autoridad cronológica,Tardorromana cristiana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
180,IV,XXI,De los Emperadores Arcadio y Honorio,Próspero Aquitanio,Próspero de Aquitania,,"Paulo Orosio y Próspero Aquitanio, s. IV-V, en Aquitania (Francia). Sobre el año exacto del saqueo de Roma, 410. Aunque estos autores añaden dos más, ergo, 412. Empleados por Mariana para contrastar las fechas, o, como mínimo, para indicar que no todos los autores concuerdan.",Autoridad cronológica,Cristiana tardoantigua,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
