Orden,Libro,Capítulo,Título del capítulo,Autor citado,Forma normalizada,Obra asociada,Pasaje / contexto,Función de la cita,Tipo de fuente,Observaciones,Validación 1617,Coincidencia OCR 1617,Cita literal 1617 (OCR),Línea OCR cita 1617,Rango OCR 1617,Notas validación 1617
75,II,XXIII,De otras cosas que Escipión hizo en España,Plinio,Plinio el Viejo,Naturalis Historia,Plinio: los huesos de los Scipiones fueron incinerados en la ciudad de Ilorci (posiblemente la actual Lorca).,Autoridad geográfica/toponímica,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR. Identificación insegura en las notas.,Confirmado en 1617,plinio,"el afsiéto y refidencia de aqucUos Reyes / ^ entiende q es Arelgol, por caula / ^ Plinio tcdifica,que Siga edaua enfren- / te de Malaga. Acudió a la mifma ciudad / y en la mifma fazon Afdrubal, para pre-",14206,líneas 14167-14724,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
76,II,XXIII,De otras cosas que Escipión hizo en España,Valerio Máximo,Valerio Máximo,Factorum et dictorum memorabilium,"Valerio Máximo (Valerius Maximus), s. I. Romano. Obra más relevante: Hechos y Dichos Memorables. Colección de anécdotas de la historia romana y griega (en menor medida). Sobre Corbis y Orsua, dos gladiadores, primos hermanos, que participaron en las exequias (hubo juegos de gladiadores) de los Scipiones.",Autoridad bibliográfica o de transmisión textual,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,valerio maximo,"Orfua,por cierta diferencia que tenia lo / brcclíeñorro dclaciudad llamada Iba, / Valerio Máximo dize,quccran herma- / nosrconcuerdan que Orfua el menor de / los dos, pagó con la vida fu obftiriácion,",14332,líneas 14167-14724,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
77,II,XXIV,Como Escipión venció a Cartago en África,Tito Livio,Tito Livio,Ab urbe condita,"Tito Livio, sobre la guerra entre Cartago y Roma.",Autoridad narrativa bélica,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,livio,"brcue a los Scdctanosjcomo dize Liuio / ""(yo mas quilicra que dixera Cerctanos, / quales adelante de los Ilcrgetes,y délos",14484,líneas 14167-14724,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
78,II,XXV,Como M. Porcio Catón siendo cónsul vino a España,Aulus Gellius,Aulo Gelio,Noctes Atticae,"Aulus Gellius (Aulo Gelio). Romano, s. II. Sobre el intento del cónsul Catón de conquistar la actual Sigüenza, ciudad de los Turdetanos, que se habían levantado contra Roma. Tras la segunda guerra púnica, los romanos deben estabilizar la península, levantada en armas (no todos los pueblos) contra ellos.",Autoridad geográfica/toponímica,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,gellio,"dida la cíperanja de falir con ello, pafsó / a Numancia, como fe entiende de Aulo / Gellio. No le hizo cofa de mayor mo- / mento por aquellas partes. Hazia los Py - / ríñeos lele rindieron los Ceretanos, lo*",15046,líneas 14695-15335,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
79,II,XXVI,De diferentes pretores que vinieron a España,Ptolomeo,Ptolomeo,Geographia,"Ptolomeo, para cuestiones relacionadas con el nombre de ciudades.",Autoridad geográfica/toponímica,Clásica grecorromana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,ptolomeo,"batalla muy braua que les dio junto a vn / pueblo llamado Eburarel qual entiendo / que Ptolomeo llama Libora, y oy es T a- / laucra, como fe prouará en otra parte. / T unieron ellos Pretores el gouierno de",15158,líneas 14695-15335,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
80,II,XXVI,De diferentes pretores que vinieron a España,Plutarco,Plutarco,Vidas paralelas,"Plutarco, sobre la confederación de Numancia con Roma.",Autoridad narrativa bélica,Clásica griega,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,No localizado automáticamente en 1617,,,,líneas 14695-15335,"No hay coincidencia automática fiable; puede deberse a OCR, variante nominal o error de las notas. Requiere revisión manual."
81,II,XXVI,De diferentes pretores que vinieron a España,Estrabón,Estrabón,Geographica,"Estrabón, justifica que Córdoba fue fundada por el cónsul Marco Marcello.",Autoridad geográfica/toponímica,Clásica griega,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Localizado en el libro; capítulo no confirmado por OCR,estrabon,"to para los de Carthago, que confidera- dación de Roma de quinientos y diez y / can quantasfuerfas perdian, conauer- fcys.Era cfta gente por aquel tiempo tá / les antes quitado a Sicilia , y al prefente rica, que como dizc Eftrabon,vfauan de / deípojado de Cerdeña. Los Romanos pcfcbres,y de tinajas de plata. Añadcn,q / fe efeufauan con el concierto, ycapitu- cofteando con fu arntada las riberas dcl-",10800,líneas 14695-15335,"El OCR localiza el nombre dentro del mismo libro, pero no dentro del rango capitular aproximado. Requiere revisión manual."
82,II,XXVI,De diferentes pretores que vinieron a España,Silio Itálico,Silio Itálico,Punica,"Silio Itálico, por su parte, menciona Córdoba en tiempos de Aníbal. Dos fuentes de autoridad contrapuestas.",Autoridad geográfica/toponímica,Clásica romana / poesía épica,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,silio,".filo tienen, ni ion concluyétes, ni del to / dq vanas, ni ay para que fe relaten. Lo / cierto es,que Silio Itálico Jiaze mención / deCordoua en tiempo de Anibal,y puc / A(c entender qup fu fundación fue an^",15254,líneas 14695-15335,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
83,III,I,Del principio de la guerra de Numancia,Appiano,Apiano de Alejandría,"Historia romana, Iberiké","Appiano, sobre la ubicación de la ciudad de Segeda, dentro de los pueblos Belos, y no Arévacos (lo usa para contraponer la información disponible).",Autoridad geográfica/toponímica,Clásica griega / transmisión fragmentaria,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,appiano,"li,y fe contaua entre los pueblos Areua- / cos otra ciudad llamada Segeda,dc qua- / renra crtadios en circuyto. Appianola / pone en lo portrerodelá Celtiberiaj en- / tre los pueblos llamados Belos;por venf",15427,líneas 15336-16091,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
84,III,I,Del principio de la guerra de Numancia,Ptolomeo,Ptolomeo,Geographia,"Ptolomeo, sobre la ubicación de Nertóbriga.",Autoridad geográfica/toponímica,Clásica grecorromana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Localizado en el libro; capítulo no confirmado por OCR,ptolomeo,"dad,y hizo muchos ygrandes beneficios / y honras a fus moradorcs.Fucra dcllo de / J'linio y de Ptolomeo fe entiende clara- / mente que en Efpaña ouo dos pueblos, / ambos llamados Ofcaicl vno en los Ilcr-",18330,líneas 15336-16091,"El OCR localiza el nombre dentro del mismo libro, pero no dentro del rango capitular aproximado. Requiere revisión manual."
85,III,II,Cómo Publio Cornelio Scipión vino por legado o lugarteniente a España,Marco Tulio Cicerón,Cicerón,No determinada,"Marco Tulio Cicerón (Marcus Tullius Cicero), s. II-I a.C. Romano. Que Lucullo vino al gobierno de España y Scipión pasó a África. (Para los asuntos de los romanos en el gobierno de Hispania).",Autoridad narrativa bélica,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,ciceron,"filcan^aflc dcl,Ics cmbiaíle Elefantes de / íbeorro. Pero yo , por mas cierto tengo / D lo que afirma Marco Cicerón , que efto / fucedio adelante, en el Cófulado de Má / lio. Fue eñe Scipion cafado con herma-",15803,líneas 15336-16091,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
86,III,II,Cómo Publio Cornelio Scipión vino por legado o lugarteniente a España,Estrabón,Estrabón,Geographica,"Estrabón, para lo mismo.",Autoridad historiográfica de apoyo,Clásica griega,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,estrabon,"lo dizc Eftrabon.Llegó Lueulo a fu Pro- C|refpondicron,que fi lo hazian , les guar",15887,líneas 15336-16091,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
87,III,II,Cómo Publio Cornelio Scipión vino por legado o lugarteniente a España,Plinio,Plinio el Viejo,Naturalis Historia,"Plinio, para lo mismo.",Autoridad historiográfica de apoyo,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Localizado en el libro; capítulo no confirmado por OCR,plinio,"rrian riefgo de fer dañados . Mctello ha- / zla U guerra en fu Prouincia , y fofiegó / los Celtiberos : por lo menos Plinio di- / Z£,.qúe venció los Arcuacos : y fin ern- / 2, bar^o el año figuicntc j que tue el de",16481,líneas 15336-16091,"El OCR localiza el nombre dentro del mismo libro, pero no dentro del rango capitular aproximado. Requiere revisión manual."
88,III,II,Cómo Publio Cornelio Scipión vino por legado o lugarteniente a España,Appiano,Apiano de Alejandría,"Historia romana, Iberiké","Appiano, para lo mismo.",Autoridad historiográfica de apoyo,Clásica griega / transmisión fragmentaria,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,appiano,"li,y fe contaua entre los pueblos Areua- / cos otra ciudad llamada Segeda,dc qua- / renra crtadios en circuyto. Appianola / pone en lo portrerodelá Celtiberiaj en- / tre los pueblos llamados Belos;por venf",15427,líneas 15336-16091,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
89,III,II,Cómo Publio Cornelio Scipión vino por legado o lugarteniente a España,Cicerón,Cicerón,No determinada,"Cicerón, para lo mismo.",Autoridad historiográfica de apoyo,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,ciceron,"filcan^aflc dcl,Ics cmbiaíle Elefantes de / íbeorro. Pero yo , por mas cierto tengo / D lo que afirma Marco Cicerón , que efto / fucedio adelante, en el Cófulado de Má / lio. Fue eñe Scipion cafado con herma-",15803,líneas 15336-16091,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
90,III,III,De la guerra de Viriato,Cicerón,Cicerón,No determinada,"Cicerón, cuestiones relacionadas a la guerra contra Viriato.",Autoridad narrativa bélica,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Localizado en el libro; capítulo no confirmado por OCR,ciceron,"filcan^aflc dcl,Ics cmbiaíle Elefantes de / íbeorro. Pero yo , por mas cierto tengo / D lo que afirma Marco Cicerón , que efto / fucedio adelante, en el Cófulado de Má / lio. Fue eñe Scipion cafado con herma-",15803,líneas 16062-16774,"El OCR localiza el nombre dentro del mismo libro, pero no dentro del rango capitular aproximado. Requiere revisión manual."
91,III,III,De la guerra de Viriato,Andrea de' Bardi,Andrea de' Bardi,No determinada,"Andrea de' Bardi, ""El Anconitano"" → desacreditado por Mariana, basándose en lo que otros autores comentan. Italiano, s. XIII-XIV. Autor discutido.",Fuente problemática o usada críticamente,Dudosa,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR. Caso crítico/problemático.,Confirmado en 1617,anconitano,"creer que vino también a Efpaña, yen / ella venció a los Gallegos , fi las inferip- / cíonesde Anconitano tuuiefich bañan- / te autoridad para fiarfe de lo que rela- / tan encftecaío. Otros podran juzgar el",16408,líneas 16062-16774,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
92,III,IV,De lo que Q. Cecilio Metello hizo en España,Plinio,Plinio el Viejo,Naturalis Historia,"Plinio, sobre los asuntos de Roma en la P. Ibérica.",Autoridad historiográfica de apoyo,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,plinio,"rrian riefgo de fer dañados . Mctello ha- / zla U guerra en fu Prouincia , y fofiegó / los Celtiberos : por lo menos Plinio di- / Z£,.qúe venció los Arcuacos : y fin ern- / 2, bar^o el año figuicntc j que tue el de",16481,líneas 16062-16774,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
93,III,IV,De lo que Q. Cecilio Metello hizo en España,Appiano,Apiano de Alejandría,"Historia romana, Iberiké","Appiano, lo mismo.",Autoridad historiográfica de apoyo,Clásica griega / transmisión fragmentaria,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,appiano,"fin publica y bañante autoridad.Por dó- / de no parece llegado a razó,ni cofa pro- / bablcjlo que refiere Appiano, que el di- / cho concierto fue en Roma aprouado / por el Seuado,y pueblo Romano.",16637,líneas 16062-16774,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
94,III,X,Cómo Numancia fue destruida,Appiano,Apiano de Alejandría,"Historia romana, Iberiké","Appiano, sobre la conquista de Numancia.",Autoridad narrativa bélica,Clásica griega / transmisión fragmentaria,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,appiano,"los mifmos ciudadanos fe quitaron las. / , . vidas. Appiano dizc,qcntrada la ciudad / hallaró algunos viuos.Cótradizcn a cf- / to los demas autores ; y es cofaaucrigua",17785,líneas 17434-18139,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
95,III,XI,De lo que sucedió en España después de la guerra de Numancia,Antonio de Nebrija,Antonio de Nebrija,Decades rerum Hispanicarum,"Antonio de Nebrija, s. XV-XVI. Castellano. Decadas Rerum Hispanicarum (1545, edición póstuma): Obra historiográfica que cubre la historia de España desde la época romana hasta los Reyes Católicos. → sobre Craso, y la vía de la Plata (ruta romana más famosa de Hispania).","Autoridad sobre orígenes, genealogía o materia mítica",Humanista española,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,No localizado automáticamente en 1617,,,,líneas 17434-18139,"No hay coincidencia automática fiable; puede deberse a OCR, variante nominal o error de las notas. Requiere revisión manual."
96,III,XII,Cómo se comenzó la guerra de Sertorio,Plinio,Plinio el Viejo,Naturalis Historia,"Plinio y Ptolomeo, de nuevo, para situar ciudades antiguas (geografía).",Autoridad geográfica/toponímica,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Localizado en el libro; capítulo no confirmado por OCR,plinio,"rrian riefgo de fer dañados . Mctello ha- / zla U guerra en fu Prouincia , y fofiegó / los Celtiberos : por lo menos Plinio di- / Z£,.qúe venció los Arcuacos : y fin ern- / 2, bar^o el año figuicntc j que tue el de",16481,líneas 18110-18948,"El OCR localiza el nombre dentro del mismo libro, pero no dentro del rango capitular aproximado. Requiere revisión manual."
97,III,XII,Cómo se comenzó la guerra de Sertorio,Ptolomeo,Ptolomeo,Geographia,"Plinio y Ptolomeo, de nuevo, para situar ciudades antiguas (geografía).",Autoridad geográfica/toponímica,Clásica grecorromana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,ptolomeo,"dad,y hizo muchos ygrandes beneficios / y honras a fus moradorcs.Fucra dcllo de / J'linio y de Ptolomeo fe entiende clara- / mente que en Efpaña ouo dos pueblos, / ambos llamados Ofcaicl vno en los Ilcr-",18330,líneas 18110-18948,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
98,III,XIII,Cómo Metello y Pompeio vinieron a España,Plutarco,Plutarco,Vidas paralelas,"Plutarco, sobre el pretor Lucio Domicio, que acompaña a Q. Metello en la guerra contra Sertorio.",Autoridad narrativa bélica,Clásica griega,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,plutarcho,"que a fu padre fuefle al jado el dcllicrra / en que le condenaran. Embio con el al / Pretor Lucio Domicio , Plutarcho le / llamó Toranio , que era fobrenombre / muy ordinario de los Domicios . Elle a",18342,líneas 18110-18948,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
99,III,XIII,Cómo Metello y Pompeio vinieron a España,Casiodoro,Casiodoro,Chronica,"Flavio Magno Aurelio Casiodoro Senador (Casiodoro), s. V-VI, italiano (Calabria). Político, literato y estadista romano al servicio del Reino Ostrogodo en Italia. Y Quinto Septimio Florente Tertuliano (Tertulliano), s.II-III. Nace en Cartago (pero es romano). Uno de los principales Padres de la Iglesia latinos, considerado el fundador de la teología latina. Ambos hablan sobre Genio Pompeyo y la guerra contra Sertorio (asuntos de los romanos en la P. Ibérica).",Autoridad narrativa bélica,Tardorromana / medieval temprana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,No localizado automáticamente en 1617,,,,líneas 18110-18948,"No hay coincidencia automática fiable; puede deberse a OCR, variante nominal o error de las notas. Requiere revisión manual."
100,III,XIII,Cómo Metello y Pompeio vinieron a España,Tertuliano,Tertuliano,No determinada,"Flavio Magno Aurelio Casiodoro Senador (Casiodoro), s. V-VI, italiano (Calabria). Político, literato y estadista romano al servicio del Reino Ostrogodo en Italia. Y Quinto Septimio Florente Tertuliano (Tertulliano), s.II-III. Nace en Cartago (pero es romano). Uno de los principales Padres de la Iglesia latinos, considerado el fundador de la teología latina. Ambos hablan sobre Genio Pompeyo y la guerra contra Sertorio (asuntos de los romanos en la P. Ibérica).",Autoridad narrativa bélica,Patrística latina,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,No localizado automáticamente en 1617,,,,líneas 18110-18948,"No hay coincidencia automática fiable; puede deberse a OCR, variante nominal o error de las notas. Requiere revisión manual."
101,III,XIII,Cómo Metello y Pompeio vinieron a España,Paulo Orosio,Paulo Orosio,Historiae adversus paganos,"Paulo Orosio (Paulus Orosius), s. IV-V. Sobre lo mismo.",Autoridad historiográfica de apoyo,Tardorromana cristiana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,orosio,"mueftrade valentia,quedcíreo de exe- / cutar aquella crueldad.Orofio dize,que / Pompeio era partido antes que Lauro- / na fe entregaíTe, y que los moradores",18596,líneas 18110-18948,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
102,III,XIV,Cómo Sertorio fue vencido y muerto,Ambrosio de Morales,Ambrosio de Morales,Crónica general de España,"Ambrosio de Morales, Córdoba, s. XVI. La Crónica General de España (Continuación de la de Ocampo): Publicada en 1574 (Libros VI al X) y la segunda parte en 1586. Sobre la ubicación del sepulcro de Sertorio.",Autoridad geográfica/toponímica,Humanista española,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,ambrosio de morales,"tOjdado que en nuedra hidoria Latina / pufimos aquel letrero, tomado c5 otros / algunos de Ambrofio de Morales , a fu / ritfgo y por fu cuenta, perfona en lo de- / más doéla y diligente en radrear las auti",18820,líneas 18110-18948,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
103,III,XV,Cómo Pompeyo apaciguó a España,Estrabón,Estrabón,Geographica,"Estrabón, sobre la ciudad de Pompelo. Cuestiones geográficas.",Autoridad geográfica/toponímica,Clásica griega,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Localizado en el libro; capítulo no confirmado por OCR,estrabon,"lo dizc Eftrabon.Llegó Lueulo a fu Pro- C|refpondicron,que fi lo hazian , les guar",15887,líneas 18110-18948,"El OCR localiza el nombre dentro del mismo libro, pero no dentro del rango capitular aproximado. Requiere revisión manual."
104,III,XVII,Del principio de la guerra civil en España,Paulo Orosio,Paulo Orosio,Historiae adversus paganos,"Paulo Orosio y Estrabón, sobre los españoles (cántabros) que participaron en la guerra de las Galias (de Julio César).",Autoridad narrativa bélica,Tardorromana cristiana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,orosio,"paíTaron en gran nunterólos Py ríñeos, / como gente codiciofa de honra, y prefta / a tomar las armas. Orofío dize , que cin- / cuenta mil Cántabros , que morauan do / de oy cfta Vizcaya , y por alli cerca,paf-",19140,líneas 18919-19339,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
105,III,XVII,Del principio de la guerra civil en España,Estrabón,Estrabón,Geographica,"Paulo Orosio y Estrabón, sobre los españoles (cántabros) que participaron en la guerra de las Galias (de Julio César).",Autoridad narrativa bélica,Clásica griega,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Localizado en el libro; capítulo no confirmado por OCR,estrabon,"lo dizc Eftrabon.Llegó Lueulo a fu Pro- C|refpondicron,que fi lo hazian , les guar",15887,líneas 18919-19339,"El OCR localiza el nombre dentro del mismo libro, pero no dentro del rango capitular aproximado. Requiere revisión manual."
106,III,XVII,Del principio de la guerra civil en España,Marco Anneo Lucano,Lucano,Pharsalia / Bellum civile,"Marco Anneo Lucano, Córdoba, romano, s. I. Sobre el río Segre (geografía) en el contexto de la guerra de las Galias, que se extiende a España.",Autoridad geográfica/toponímica,Clásica romana / poesía épica,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,lucano,"Pyrincos: rompio por Efpañahada po- / li ner fus reales a vida de los enemigos# / padado el rio Segre . Lucano dixo , que / el dicho rio edaua en medio. Viniéronle / defpucs otras legiones « ademas de feys",19310,líneas 18919-19339,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
107,III,XXI,Cómo en España se hizo la guerra contra los hijos de Pompeyo,Plutarco,Plutarco,Vidas paralelas,"Plutarco, Julio César en Córdoba.",Autoridad geográfica/toponímica,Clásica griega,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,plutarcho,"dad fobreuino a Cefar, q de noche a for / das,y ftn hazer ruy do momo con fus g^ / tes camino de Atregua. Plutarcho dize, / q Celar en Cordoiia primeramente fin / tío el mal caduco de q era tocado : y es",19752,líneas 19310-20088,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
108,III,XXII,Cómo César volvió a Roma,Floro,Lucio Anneo Floro,Epitome de Tito Livio,"Floro →Lucius Annaeus Florus. Atribución discutida. Sobre la muerte de Genio Pompeio a manos de Dido y Cesonio, enviados por J. César para matarle.",Autoridad historiográfica de apoyo,Clásica romana / epítome,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,floro,"porticrra.Dicrócóclen vna cueuadó- / dccftauacfc6dido,y alli le prfdieró y le / dieró la muerte.Floro dizc que peleó , y / qk mataró cerca dcLaurona, pueblo q / oy fe llama Lyria,o Laurigi, como otros",19946,líneas 19310-20088,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
109,III,XXII,Cómo César volvió a Roma,Virgilio,Virgilio,Églogas,"Virgilio → en una égloga habla de Asinio Pollion, que vino por gobernador de la España Ulterior.",Autoridad historiográfica de apoyo,Clásica romana / poesía,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,virgilio,"do por vna Egloga de Virgilio , en que / converfosdelaSybilia , que hablauan / de la venida deChriíto,Hijo de Dios,ce",19996,líneas 19310-20088,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
110,III,XXIII,Cómo después de la muerte de César se levantaron nuevas alteraciones en España,Dion Casio,Dion Casio,Historia romana,Dion Casio (posiblemente). S. II-III. Historia Romana. Sobre Julio César.,Autoridad historiográfica de apoyo,Clásica griega/romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR. Identificación insegura en las notas.,Confirmado en 1617,dio,"li ner fus reales a vida de los enemigos# / padado el rio Segre . Lucano dixo , que / el dicho rio edaua en medio. Viniéronle / defpucs otras legiones « ademas de feys / mil peones,y tres mil cauallos que de U",19311,líneas 19310-20088,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
111,III,XXIV,De la cuenta llamada Era,Juan Margarite,Joan Margarit i Pau,Paralipomenon Hispaniae,"Juan Margarite (Joan Margarit i Pau), obispo de Gerona. S. XV. Paralipomenon Hispaniae ( Historiae ab adventu Gothorum ad haec usque tempora): Su obra historiográfica magna, inacabada. Es un extenso relato de la historia de la Península Ibérica desde los visigodos hasta su época (finales del siglo XV). Sobre la era del César, 26 años antes de Cristo (fechado por era hispánica o año del señor). Cuidado, que según Mariana esto que dice está mal, el resto autores contradicen al obispo.",Fuente problemática o usada críticamente,Humanista / eclesiástica hispana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,No localizado automáticamente en 1617,,,,líneas 20059-20564,"No hay coincidencia automática fiable; puede deberse a OCR, variante nominal o error de las notas. Requiere revisión manual."
112,III,XXIV,De la cuenta llamada Era,Dion,Dion Casio,Historia romana,"Dion, sobre el reparto de las provincias tras la guerra de Perosa. Relacionado con tema de la Era.",Autoridad narrativa bélica,Clásica griega/romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,dion,"gunos toman la cucta de los años dcl Im / perio de Oélauiano Auguílo , que le fu- / ccdio,y fue fu heredero : dado q los mas / le comienfan del año (¡guíente , quando",20096,líneas 20059-20564,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
113,III,XXIV,De la cuenta llamada Era,Hilderico,Hilderico,No determinada,Hilderico y San Isidoro.,Autoridad historiográfica de apoyo,Pendiente de identificación,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,No localizado automáticamente en 1617,,,,líneas 20059-20564,"No hay coincidencia automática fiable; puede deberse a OCR, variante nominal o error de las notas. Requiere revisión manual."
114,III,XXIV,De la cuenta llamada Era,San Isidoro,Isidoro de Sevilla,Etymologiae / obras históricas,Hilderico y San Isidoro.,Autoridad historiográfica de apoyo,Medieval / patrística hispana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,isidoro,"mas que las Latinas. También hallamo^ / qt«Hikl«iKO,denactODFrances,y delj / mifmo ticrapQ.de fan Ifidoro , por dcain / numero de dias,dizc Eras.de dias : y aun > / entre los aftrologos algunós llaman Eras",20342,líneas 20059-20564,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
